Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,
12/1/2018,138.5,154.399994,116.599998,122.800003,121.678368,2685030,,Period,EPS,EPS Beat/Miss,Revenue,YoY,Revenue Beat/Miss2,,Date,(Millions of US $),,Date,(Millions of US $)
1/1/2019,120.099998,147.5,119,146.5,145.360596,2103930,,FQ3 2023 (Sep) ,-0.09,0.16,"1,410,000,000",45.18%,"146,240,000",,2022,"$5,174 ",,6/30/2023,"$4,847 "
2/1/2019,145.199997,145.899994,128.199997,140.300003,139.208817,2658720,,FQ2 2023 (Jun) ,0.09,0.46,"1,350,000,000",15.56%,"61,160,000",,2021,"$5,471 ",,3/31/2023,"$4,914 "
3/1/2019,156.600006,165,141.5,148.5,147.345047,4044160,,FQ1 2023 (Mar) ,-1.5,0.07,"954,400,000",21.47%,"16,200,000",,2020,"$5,779 ",,12/31/2022,"$5,174 "
4/1/2019,149.5,170.699997,145.300003,151.600006,150.624496,3304970,,FQ4 2022 (Dec) ,-1.24,0.68,"990,900,000",-15.43%,"13,240,000",,2019,"$4,823 ",,9/30/2022,"$5,248 "
5/1/2019,151.5,153,117.099998,119.800003,119.029114,4136480,,,,,,,,,2018,"$5,201 ",,6/30/2022,"$5,414 "
6/1/2019,119.400002,120.800003,92.800003,93.300003,92.699638,4817910,,,,,,,,,2017,"$4,799 ",,3/31/2022,"$5,562 "
7/1/2019,98.5,119.800003,87.300003,118.300003,117.751114,6801140,,,,,,,,,2016,"$4,355 ",,12/31/2021,"$5,471 "
8/1/2019,117,124.900002,104.599998,111.099998,110.584526,5908840,,,,,,,,,2015,"$1,996 ",,9/30/2021,"$5,499 "
9/1/2019,111.900002,121.300003,104.400002,107,106.50354,3771660,,,,,,,,,2014,"$1,877 ",,6/30/2021,"$5,550 "
10/1/2019,107.5,109.5,87.800003,93.699997,93.420692,5219300,,Date,TTM Revenue,TTM EBITDA,EBITDA Margin,,,,2013,"$2,179 ",,3/31/2021,"$5,517 "
11/1/2019,94.5,103.5,74.699997,81.800003,81.556168,7752300,,6/30/2023,$4.26B,$-0.03B,-0.59%,,,,2012,"$2,187 ",,12/31/2020,"$5,779 "
12/1/2019,82.400002,87.800003,71.5,72.400002,72.355858,7275420,,3/31/2023,$4.08B,$-0.13B,-3.11%,,,,2012,null,,9/30/2020,"$5,888 "
1/1/2020,73,76,62.5,65.199997,65.16024,6608580,,12/31/2022,$3.91B,$-0.18B,-4.58%,,,,2011,null,,6/30/2020,"$5,582 "
2/1/2020,65,77.800003,51.200001,62.599998,62.561829,5801730,,9/30/2022,$4.09B,$-0.01B,-0.29%,,,,,,,3/31/2020,"$5,106 "
3/1/2020,63.099998,63.200001,19.5,31.6,31.580732,12318290,,6/30/2022,$3.89B,$-0.03B,-0.85%,,,,,,,12/31/2019,"$4,823 "
4/1/2020,30,55.299999,19.5,49.200001,49.200001,23082170,,3/31/2022,$3.17B,$-0.31B,-9.67%,,,,,,,9/30/2019,"$4,800 "
5/1/2020,46.200001,64.099998,38.099998,51.299999,51.299999,22659740,,12/31/2021,$2.53B,$-0.49B,-19.19%,,,,,,,6/30/2019,"$4,823 "
6/1/2020,50.299999,73.5,37.5,42.900002,42.900002,17007920,,9/30/2021,$1.52B,$-1.37B,-90.06%,,,,,,,3/31/2019,"$4,855 "
7/1/2020,42.599998,48.200001,38.099998,40.400002,40.400002,8177990,,6/30/2021,$0.88B,$-1.88B,-214.16%,,,,,,,12/31/2018,"$5,201 "
8/1/2020,40.5,71,38.599998,58.799999,58.799999,19674440,,3/31/2021,$0.45B,$-2.02B,-447.78%,,,,,,,9/30/2018,"$5,357 "
9/1/2020,57.900002,77.099998,43.599998,47.099998,47.099998,14228780,,12/31/2020,$1.24B,$-3.61B,-290.35%,,,,,,,6/30/2018,"$4,739 "
10/1/2020,47.799999,48,22.799999,23.6,23.6,25042970,,9/30/2020,$2.53B,$-2.60B,-102.65%,,,,,,,3/31/2018,"$4,817 "
11/1/2020,23,50,21.1,42.700001,42.700001,56334630,,6/30/2020,$3.73B,$-1.90B,-50.89%,,,,,,,3/10/2012,"$4,799 "
12/1/2020,44.299999,44.299999,20.799999,21.200001,21.200001,61387880,,3/31/2020,$5.21B,$-1.33B,-25.47%,,,,,,,3/11/2012,"$4,872 "
1/1/2021,22,203.600006,19.1,132.600006,132.600006,461926050,,12/31/2019,$5.47B,$0.61B,11.22%,,,,,,,3/12/2012,"$4,848 "
