Date,TTM Revenue,TTM EBITDA,EBITDA Margin
6/30/2023,$4.26B,$-0.03B,-0.59%
3/31/2023,$4.08B,$-0.13B,-3.11%
12/31/2022,$3.91B,$-0.18B,-4.58%
9/30/2022,$4.09B,$-0.01B,-0.29%
6/30/2022,$3.89B,$-0.03B,-0.85%
3/31/2022,$3.17B,$-0.31B,-9.67%
12/31/2021,$2.53B,$-0.49B,-19.19%
9/30/2021,$1.52B,$-1.37B,-90.06%
6/30/2021,$0.88B,$-1.88B,-214.16%
3/31/2021,$0.45B,$-2.02B,-447.78%
12/31/2020,$1.24B,$-3.61B,-290.35%
9/30/2020,$2.53B,$-2.60B,-102.65%
6/30/2020,$3.73B,$-1.90B,-50.89%
3/31/2020,$5.21B,$-1.33B,-25.47%
12/31/2019,$5.47B,$0.61B,11.22%
9/30/2019,$5.44B,$0.68B,12.58%
6/30/2019,$5.34B,$0.66B,12.28%
3/31/2019,$5.28B,$0.66B,12.55%
12/31/2018,$5.46B,$0.82B,15.00%
9/30/2018,$5.47B,$0.80B,14.69%
6/30/2018,$5.42B,$0.83B,15.21%
3/31/2018,$5.18B,$0.71B,13.72%
12/31/2017,$5.08B,$0.65B,12.82%
9/30/2017,$4.59B,$0.55B,12.01%
6/30/2017,$4.19B,$0.55B,13.06%
3/31/2017,$3.75B,$0.55B,14.72%
12/31/2016,$3.24B,$0.49B,15.11%
9/30/2016,$3.09B,$0.51B,16.48%
6/30/2016,$3.00B,$0.47B,15.78%
3/31/2016,$3.06B,$0.51B,16.57%
12/31/2015,$2.95B,$0.48B,16.12%
9/30/2015,$2.88B,$0.46B,15.86%
6/30/2015,$2.82B,$0.44B,15.71%
3/31/2015,$2.73B,$0.41B,15.08%
12/31/2014,$2.70B,$0.39B,14.61%
9/30/2014,$2.70B,$0.36B,13.16%
6/30/2014,$2.76B,$0.37B,13.45%
3/31/2014,$2.80B,$0.38B,13.49%
12/31/2013,$2.75B,$0.37B,13.60%
