Date,TTM Revenue,TTM EBITDA,EBITDA Margin
6/30/2023,$0.69B,$0.07B,10.14%
3/31/2023,$0.68B,$0.06B,8.82%
12/31/2022,$0.67B,$0.05B,7.46%
9/30/2022,$0.68B,$0.06B,8.82%
6/30/2022,$0.67B,$0.06B,8.82%
3/31/2022,$0.66B,$0.06B,9.09%
12/31/2021,$0.65B,$0.05B,7.69%
9/30/2021,$0.63B,$0.02B,3.17%
6/30/2021,$0.61B,$-0.01B,-1.64%
3/31/2021,$0.60B,$-0.02B,-3.33%
12/31/2020,$0.62B,$-0.01B,-1.61%
9/30/2020,$0.63B,$0.01B,1.59%
6/30/2020,$0.67B,$0.04B,6.06%
3/31/2020,$0.72B,$0.08B,11.11%
12/31/2019,$1.43B,$0.22B,15.38%
9/30/2019,$1.44B,$0.23B,15.97%
6/30/2019,$1.44B,$0.23B,15.97%
3/31/2019,$1.44B,$0.23B,15.97%
12/31/2018,$1.44B,$0.23B,15.97%
9/30/2018,$1.44B,$0.23B,15.97%
6/30/2018,$1.44B,$0.23B,15.97%
3/31/2018,$1.44B,$0.23B,15.97%
12/31/2017,$1.44B,$0.23B,15.97%
9/30/2017,$1.44B,$0.23B,15.97%
6/30/2017,$1.44B,$0.23B,15.97%
3/31/2017,$1.44B,$0.23B,15.97%
12/31/2016,$1.44B,$0.23B,15.97%
9/30/2016,$1.44B,$0.23B,15.97%
6/30/2016,$1.44B,$0.23B,15.97%
3/31/2016,$1.44B,$0.23B,15.97%
12/31/2015,$1.44B,$0.23B,15.97%
9/30/2015,$1.44B,$0.23B,Null
