Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,
12/1/2018,37.889999,41.18,34.490002,35.799999,33.710171,23661500,,Earnings History,EPS,EPS Beat / Miss,Revenue,YoY,Revenue Beat / Miss2,
1/1/2019,35.450001,41.02,35.450001,40.919998,38.855335,23353800,,FQ3 2023 (Sep 2023),0.61,0.19,874.80M,0.345,26.77M,
2/1/2019,40.68,40.68,36.299999,37.630001,35.731339,26362600,,FQ2 2023 (Jun 2023),0.8,0.26,942.30M,0.2664,75.66M,
3/1/2019,38.060001,40.990002,37.759998,39.990002,37.972267,26003000,,FQ1 2023 (Mar 2023),-0.03,0.26,610.70M,0.3262,41.70M,
4/1/2019,40.349998,42.330002,38.869999,42.049999,40.279198,21668800,,FQ4 2022 (Dec 2022),-0.82,-0.54,599.70M,-0.1004,10.20M,
5/1/2019,42.060001,43.509998,37.490002,37.990002,36.390175,21691000,,,,,,,,
6/1/2019,38.02,38.98,34.900002,36.099998,34.579769,21533400,,Date,TTM Revenue,TTM EBITDA,EBITDA Margin,,Date,(Millions of US $)
7/1/2019,36.43,40.029999,35.59,39.919998,38.589054,25924800,,6/30/2023,$2.80B,$0.36B,12.84%,,2022,"$2,562 "
8/1/2019,40.040001,41.599998,36.279999,38.16,36.887733,25352400,,3/31/2023,$2.61B,$0.18B,7.06%,,2021,"$2,579 "
9/1/2019,37.669998,39.810001,37.439999,38.639999,37.351727,17202500,,12/31/2022,$2.46B,$0.13B,5.34%,,2020,"$2,502 "
10/1/2019,38.849998,39.189999,35.18,36.599998,35.697807,22808500,,9/30/2022,$2.52B,$0.24B,9.48%,,2019,"$1,912 "
11/1/2019,36.900002,37.830002,31.52,33.869999,33.035103,26441100,,6/30/2022,$2.31B,$0.19B,8.06%,,2018,"$2,005 "
12/1/2019,33.970001,35.740002,33.490002,33.849998,33.015594,32370400,,3/31/2022,$1.86B,$0.13B,6.73%,,2017,"$2,032 "
1/1/2020,33.959999,34.259998,30.59,31.51,31.041061,36165100,,12/31/2021,$1.51B,$-0.01B,-0.33%,,2016,"$2,017 "
2/1/2020,31.52,32.790001,23.700001,25.959999,25.573656,53601900,,9/30/2021,$0.94B,$-0.34B,-35.77%,,2015,"$1,982 "
3/1/2020,26.1,26.16,5.71,10.19,10.03835,139481500,,6/30/2021,$0.54B,$-0.51B,-93.54%,,2014,"$1,985 "
4/1/2020,9.78,16.02,7.64,14.28,14.28,124194200,,3/31/2021,$0.26B,$-0.64B,-249.22%,,2013,"$2,025 "
5/1/2020,13.64,17.389999,11.21,15.03,15.03,81630100,,12/31/2020,$0.69B,$-0.52B,-75.22%,,2012,"$1,894 "
6/1/2020,15.03,19.790001,10.35,11.55,11.55,116233600,,9/30/2020,$1.38B,$-0.16B,-11.40%,,2011,"$1,692 "
7/1/2020,11.72,14.36,11.06,11.83,11.83,82934300,,6/30/2020,$2.16B,$0.12B,5.36%,,2010,"$1,654 "
8/1/2020,11.78,15.53,10.37,14.65,14.65,193160700,,3/31/2020,$3.11B,$0.49B,15.68%,,2009,"$1,665 "
9/1/2020,14.49,16.559999,9.29,10,10,165002200,,12/31/2019,$3.28B,$0.59B,18.00%,,,
10/1/2020,9.98,10.22,7.56,8.19,8.19,250938000,,9/30/2019,$3.29B,$0.60B,18.25%,,,
11/1/2020,8.3,17.379999,8.03,15.45,15.45,234878500,,6/30/2019,$3.23B,$0.62B,19.29%,,Date,(Millions of US $)
12/1/2020,15.96,18.280001,13.2,17.41,17.41,241831600,,3/31/2019,$3.16B,$0.59B,18.73%,,6/30/2023,"$2,471 "
1/1/2021,17.639999,27.85,16.1,20.24,20.24,142328200,,12/31/2018,$3.22B,$0.64B,19.75%,,3/31/2023,"$2,460 "
2/1/2021,20.559999,24.65,18.76,22.450001,22.450001,82163500,,9/30/2018,$3.17B,$0.65B,20.33%,,12/31/2022,"$2,562 "
3/1/2021,23.07,26.120001,19.200001,20.41,20.41,92835300,,6/30/2018,$3.13B,$0.63B,20.16%,,9/30/2022,"$2,565 "
4/1/2021,20.65,23.76,20.059999,21.200001,21.200001,57705200,,3/31/2018,$2.99B,$0.60B,20.02%,,6/30/2022,"$2,570 "
5/1/2021,21.43,24.629999,20.32,22.66,22.66,58792700,,12/31/2017,$2.99B,$0.62B,20.79%,,3/31/2022,"$2,575 "
6/1/2021,23.07,25.200001,21.360001,21.950001,21.950001,75995800,,9/30/2017,$2.94B,$0.61B,20.66%,,12/31/2021,"$2,579 "
