Date,(Millions of US $)
6/30/2023,"$2,471 "
3/31/2023,"$2,460 "
12/31/2022,"$2,562 "
9/30/2022,"$2,565 "
6/30/2022,"$2,570 "
3/31/2022,"$2,575 "
12/31/2021,"$2,579 "
9/30/2021,"$2,583 "
6/30/2021,"$2,588 "
3/31/2021,"$2,590 "
12/31/2020,"$2,502 "
9/30/2020,"$2,495 "
6/30/2020,"$2,250 "
3/31/2020,"$2,007 "
12/31/2019,"$1,912 "
9/30/2019,"$1,898 "
6/30/2019,"$1,902 "
3/31/2019,"$1,907 "
12/31/2018,"$2,005 "
9/30/2018,"$2,003 "
6/30/2018,"$2,014 "
3/31/2018,"$2,021 "
12/31/2017,"$2,032 "
9/30/2017,"$2,034 "
6/30/2017,"$2,011 "
3/31/2017,"$2,012 "
12/31/2016,"$2,017 "
9/30/2016,"$1,996 "
6/30/2016,"$1,999 "
3/31/2016,"$2,000 "
12/31/2015,"$1,982 "
9/30/2015,"$2,007 "
6/30/2015,"$2,013 "
3/31/2015,"$2,009 "
12/31/2014,"$1,985 "
9/30/2014,"$2,017 "
6/30/2014,"$2,020 "
3/31/2014,"$2,024 "
12/31/2013,"$2,025 "
9/30/2013,"$2,026 "
6/30/2013,"$2,033 "
3/31/2013,"$1,896 "
12/31/2012,"$1,894 "
9/30/2012,"$1,679 "
6/30/2012,"$1,684 "
3/31/2012,"$1,690 "
12/31/2011,"$1,692 "
9/30/2011,"$1,690 "
6/30/2011,"$1,691 "
3/31/2011,"$1,650 "
12/31/2010,"$1,654 "
9/30/2010,"$1,654 "
6/30/2010,"$1,658 "
3/31/2010,"$1,661 "
12/31/2009,"$1,665 "
9/30/2009,"$1,669 "
6/30/2009,"$1,691 "
3/31/2009,"$1,639 "
